tag,res,feat,clf,k_shot,seed,acc,macro_f1
official,224,cls,proto,5,789,58.68327402135232,0.5739315582154564
official,224,cls,proto,5,999,56.97508896797153,0.5550638484826964
official,224,cls,knn,5,42,61.67259786476868,0.6024673174927984
official,224,cls,knn,5,123,60.355871886120994,0.597607452537947
official,224,cls,knn,5,456,59.7508896797153,0.5897011255981637
official,224,cls,knn,5,789,61.60142348754448,0.6034714967487778
official,224,cls,knn,5,999,60.106761565836294,0.5853077151867616
official,224,cls,lp,5,42,52.811387900355875,0.49323824305549346
official,224,cls,lp,5,123,52.206405693950174,0.4882972943455218
official,224,cls,lp,5,456,52.135231316725985,0.4876275453295693
official,224,cls,lp,5,789,52.84697508896797,0.492306562139689
official,224,cls,lp,5,999,53.345195729537366,0.4966594465129799
official,224,cls,labelprop,5,42,31.494661921708182,0.25737906056517335
official,224,cls,labelprop,5,123,31.423487544483987,0.26722786767618495
official,224,cls,labelprop,5,456,31.387900355871885,0.2640973667642521
official,224,cls,labelprop,5,789,31.209964412811388,0.2612022495713517
official,224,cls,labelprop,5,999,31.24555160142349,0.2679379528072872
official,224,cls,ptmap,5,42,59.644128113879006,0.5793500391596059
official,224,cls,ptmap,5,123,59.252669039145914,0.5757846031297077
official,224,cls,ptmap,5,456,58.86120996441281,0.5714763695876055
official,224,cls,ptmap,5,789,60.213523131672595,0.585124354911409
official,224,cls,ptmap,5,999,58.07829181494662,0.5613625732674898
official,224,cls,proto,10,42,63.843416370106766,0.6253564758175667
official,224,cls,proto,10,123,62.064056939501775,0.6048491038652227
official,224,cls,proto,10,456,64.41281138790036,0.6294512022578526
official,224,cls,proto,10,789,63.77224199288256,0.6196243746484483
official,224,cls,proto,10,999,63.55871886120996,0.6240134339412129
official,224,cls,knn,10,42,76.08540925266904,0.7464762204975728
official,224,cls,knn,10,123,73.45195729537367,0.7179145488754028
official,224,cls,knn,10,456,74.23487544483986,0.7289789636084383
official,224,cls,knn,10,789,73.87900355871886,0.7256985437747423
official,224,cls,knn,10,999,74.73309608540926,0.7381748456949805
official,224,cls,lp,10,42,60.99644128113879,0.5687970662340605
official,224,cls,lp,10,123,60.14234875444839,0.5636869135513958
official,224,cls,lp,10,456,61.56583629893239,0.5731362970011978
official,224,cls,lp,10,789,56.93950177935944,0.5247688153383813
official,224,cls,lp,10,999,57.86476868327403,0.5376238561033025
official,224,cls,labelprop,10,42,33.594306049822066,0.27708328850830866
official,224,cls,labelprop,10,123,33.80782918149466,0.2930845790641958
official,224,cls,labelprop,10,456,34.73309608540925,0.29214919679832585
official,224,cls,labelprop,10,789,33.380782918149464,0.27394874591579826
official,224,cls,labelprop,10,999,32.81138790035587,0.2774453760008267
official,224,cls,ptmap,10,42,65.76512455516014,0.6350227366660275
official,224,cls,ptmap,10,123,62.704626334519574,0.6044933847581953
official,224,cls,ptmap,10,456,65.69395017793595,0.6345666653283745
official,224,cls,ptmap,10,789,63.41637010676157,0.6111388808897705
official,224,cls,ptmap,10,999,63.843416370106766,0.6195106709864926
official,224_fliptta,cls,proto,1,42,33.73157092018302,0.324028115152487
official,224_fliptta,cls,proto,1,123,34.21453990849009,0.3372849792291266
official,224_fliptta,cls,proto,1,456,34.2399593289273,0.33400509534933864
official,224_fliptta,cls,proto,1,789,34.82460599898322,0.33588071254676277
official,224_fliptta,cls,proto,1,999,33.93492628368073,0.331565436657922
official,224_fliptta,cls,knn,1,42,33.73157092018302,0.324028115152487
official,224_fliptta,cls,knn,1,123,34.21453990849009,0.3372849792291266
official,224_fliptta,cls,knn,1,456,34.2399593289273,0.33400509534933864
official,224_fliptta,cls,knn,1,789,34.82460599898322,0.33588071254676277
official,224_fliptta,cls,knn,1,999,33.93492628368073,0.331565436657922
official,224_fliptta,cls,lp,1,42,34.392475851550586,0.32549223000300676
official,224_fliptta,cls,lp,1,123,33.60447381799695,0.32469307702957667
official,224_fliptta,cls,lp,1,456,34.97712252160651,0.33438696946808993
official,224_fliptta,cls,lp,1,789,34.16370106761566,0.320238170265448
official,224_fliptta,cls,lp,1,999,33.985765124555165,0.3250312930994821
official,224_fliptta,cls,labelprop,1,42,24.707676664972038,0.21224052959163162
official,224_fliptta,cls,labelprop,1,123,24.504321301474327,0.22067420227205567
official,224_fliptta,cls,labelprop,1,456,24.783934926283678,0.21440273082271247
