model_name,k_shot,seed,is_bn_backbone,bn_drift_affected,resume_anomaly,resume_anomaly_desc,ft_acc,ft_macro_f1,elapsed_seconds
densenet121,kshot_5,seed_999,True,True,False,,29.750889679715304,0.2608014368287809,75.09387540817261
efficientnet_b0,kshot_1,seed_123,True,True,False,,12.887646161667515,0.1165160217888431,25.41690754890442
efficientnet_b0,kshot_1,seed_42,True,True,False,,12.353838332486019,0.11375814965887687,25.29298710823059
efficientnet_b0,kshot_1,seed_456,True,True,False,,12.73512963904423,0.11826532733008463,25.7232928276062
efficientnet_b0,kshot_1,seed_789,True,True,False,,11.769191662430096,0.10281528945023836,25.822723865509033
efficientnet_b0,kshot_1,seed_999,True,True,False,,13.141840366039654,0.12230850504008726,25.623449325561523
efficientnet_b0,kshot_10,seed_123,True,True,False,,44.128113879003564,0.3944225473776397,76.25778532028198
efficientnet_b0,kshot_10,seed_42,True,True,False,,42.419928825622776,0.38605584491432793,76.65484476089478
efficientnet_b0,kshot_10,seed_456,True,True,False,,45.195729537366546,0.41291430670369467,76.34688830375671
efficientnet_b0,kshot_10,seed_789,True,True,False,,43.70106761565836,0.40514533722276724,76.60714745521545
efficientnet_b0,kshot_10,seed_999,True,True,False,,43.27402135231317,0.3841101339184519,76.25149750709534
efficientnet_b0,kshot_3,seed_123,True,True,False,,25.800711743772244,0.2216607255482925,38.590911626815796
efficientnet_b0,kshot_3,seed_42,True,True,False,,24.080664294187425,0.21410023245933912,38.23765206336975
efficientnet_b0,kshot_3,seed_456,True,True,False,,24.22894424673784,0.2200140814638557,38.400694608688354
efficientnet_b0,kshot_3,seed_789,True,True,False,,24.91103202846975,0.2246078151625226,38.069480180740356
efficientnet_b0,kshot_3,seed_999,True,True,False,,23.309608540925268,0.20888684595954918,38.005210399627686
efficientnet_b0,kshot_5,seed_123,True,True,False,,33.16725978647687,0.29218440990921907,50.02416276931763
efficientnet_b0,kshot_5,seed_42,True,True,False,,30.782918149466195,0.2709921369891132,51.097673177719116
efficientnet_b0,kshot_5,seed_456,True,True,False,,31.423487544483987,0.2871028133623504,69.97429847717285
efficientnet_b0,kshot_5,seed_789,True,True,False,,31.743772241992886,0.28437655823967256,50.30310559272766
efficientnet_b0,kshot_5,seed_999,True,True,False,,31.316725978647685,0.284568099106721,51.06309461593628
efficientnet_b3,kshot_1,seed_123,True,True,False,,10.498220640569395,0.09650494490668432,33.90403890609741
efficientnet_b3,kshot_1,seed_42,True,True,False,,10.167768174885612,0.09346775768313738,35.94163799285889
efficientnet_b3,kshot_1,seed_456,True,True,False,,8.94763599389934,0.08182878812766507,34.10638189315796
efficientnet_b3,kshot_1,seed_789,True,True,False,,10.345704117946111,0.0819948710358824,35.83841562271118
efficientnet_b3,kshot_1,seed_999,True,True,False,,10.77783426537875,0.09888572003808305,34.00744843482971
efficientnet_b3,kshot_10,seed_123,True,True,False,,42.49110320284697,0.3820955740638704,127.74723625183105
efficientnet_b3,kshot_10,seed_42,True,True,False,,43.629893238434164,0.39130236897552867,128.76421976089478
efficientnet_b3,kshot_10,seed_456,True,True,False,,45.480427046263344,0.4118558631326822,128.16863584518433
efficientnet_b3,kshot_10,seed_789,True,True,False,,45.12455516014235,0.40982124029096817,128.76438307762146
efficientnet_b3,kshot_10,seed_999,True,True,False,,44.83985765124555,0.40111630005294174,127.73582911491394
efficientnet_b3,kshot_3,seed_123,True,True,False,,25.088967971530252,0.22901116228696994,55.88328528404236
efficientnet_b3,kshot_3,seed_42,True,True,False,,22.805456702253853,0.20138335710174346,56.2626633644104
efficientnet_b3,kshot_3,seed_456,True,True,False,,22.805456702253853,0.2052484322118333,57.281083822250366
efficientnet_b3,kshot_3,seed_789,True,True,False,,24.52550415183867,0.21037922209379809,56.3021240234375
efficientnet_b3,kshot_3,seed_999,True,True,False,,23.754448398576514,0.2117000079229784,56.82149910926819
efficientnet_b3,kshot_5,seed_123,True,True,False,,32.81138790035587,0.30398157453367797,78.34101867675781
efficientnet_b3,kshot_5,seed_42,True,True,False,,32.27758007117438,0.28590065016036154,98.35602378845215
efficientnet_b3,kshot_5,seed_456,True,True,False,,32.31316725978648,0.2891532390445712,78.55501365661621
efficientnet_b3,kshot_5,seed_789,True,True,False,,32.84697508896797,0.29213562392346437,97.9776508808136
efficientnet_b3,kshot_5,seed_999,True,True,False,,32.562277580071175,0.2840474359858397,77.92466187477112
mobilenet_v3_large,kshot_1,seed_123,True,True,False,,7.473309608540925,0.05651234712227799,21.370228052139282
mobilenet_v3_large,kshot_1,seed_42,True,True,False,,6.075241484494153,0.052161125975601824,21.543817281723022
mobilenet_v3_large,kshot_1,seed_456,True,True,False,,7.930859176410777,0.061907690633131084,21.247841835021973
mobilenet_v3_large,kshot_1,seed_789,True,True,False,,6.532791052364006,0.053456256435088,21.387627601623535
mobilenet_v3_large,kshot_1,seed_999,True,True,False,,7.193695983731571,0.05422001672652245,21.27079129219055
mobilenet_v3_large,kshot_10,seed_123,True,True,False,,47.11743772241993,0.42420841827828204,55.155484676361084
mobilenet_v3_large,kshot_10,seed_42,True,True,False,,47.97153024911032,0.4431880611392565,55.43702697753906
