tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
vitl16-official,224_fliptta,cls,proto,1,30.798169801728516,0.2381841743797141,0.30002391139499107,0.0017083231185307621
vitl16-official,224_fliptta,cls,knn,1,30.798169801728516,0.2381841743797141,0.30002391139499107,0.0017083231185307621
vitl16-official,224_fliptta,cls,lp,1,31.50482968988307,0.703663553532031,0.29970451436400236,0.007423383920185558
vitl16-official,224_fliptta,cls,labelprop,1,20.767666497203862,0.3164692322823792,0.17885149024793334,0.004273783242581319
vitl16-official,224_fliptta,cls,ptmap,1,33.909506863243514,0.8700351342208859,0.3309402621418859,0.007685512328437736
vitl16-official,224_fliptta,cls,proto,3,48.65954922894425,0.8425642162315437,0.47269150331053156,0.008338483402916244
vitl16-official,224_fliptta,cls,knn,3,48.97390272835113,0.8504084741159404,0.47930625791207715,0.00903436543632024
vitl16-official,224_fliptta,cls,lp,3,42.78766310794781,0.8141636184522093,0.40091954141955527,0.005165044309205738
vitl16-official,224_fliptta,cls,labelprop,3,25.56346381969158,0.7490706370293645,0.21084019171374963,0.008727030620111606
vitl16-official,224_fliptta,cls,ptmap,3,50.76512455516014,0.8915066256519445,0.4918166628017519,0.007766063708145165
vitl16-official,224_fliptta,cls,proto,5,54.66192170818505,0.45850885148487747,0.5330480100634959,0.006025097409374047
vitl16-official,224_fliptta,cls,knn,5,58.53380782918149,0.554977613939296,0.5746840245421823,0.005530847324730347
vitl16-official,224_fliptta,cls,lp,5,48.44839857651245,0.6555194918010847,0.44728333421137173,0.006198988778849421
vitl16-official,224_fliptta,cls,labelprop,5,27.651245551601427,1.0867211021069374,0.22887634253123096,0.007763582549454056
vitl16-official,224_fliptta,cls,ptmap,5,55.87188612099644,0.30921970101393115,0.5391517327273861,0.003398603547468633
vitl16-official,224_fliptta,cls,proto,10,60.313167259786475,1.3187442452642688,0.588429052716042,0.016559022141744
vitl16-official,224_fliptta,cls,knn,10,71.55871886120997,0.4895017470192001,0.698567233245902,0.005924321469955789
vitl16-official,224_fliptta,cls,lp,10,54.19217081850534,1.1505179019080531,0.4966794570013967,0.013599967533620526
vitl16-official,224_fliptta,cls,labelprop,10,29.409252669039148,0.8121367587527935,0.23798515472551038,0.00857076509725256
vitl16-official,224_fliptta,cls,ptmap,10,60.68327402135232,0.5838902292382546,0.5828018334560097,0.0067997631242636865
vitl16-official,448,cls,proto,1,30.25419420437214,0.5053288719792253,0.292692587967188,0.004394162356644903
vitl16-official,448,cls,knn,1,30.25419420437214,0.5053288719792253,0.292692587967188,0.004394162356644903
vitl16-official,448,cls,lp,1,30.950686324351807,0.8269324650148692,0.29547004155547496,0.009669972730531615
vitl16-official,448,cls,labelprop,1,22.755465175394,0.9262231297493009,0.19849197400160895,0.010314812133600748
vitl16-official,448,cls,ptmap,1,33.30960854092526,0.7186551644817779,0.3256629761627191,0.007133434036047398
vitl16-official,448,cls,proto,3,47.95966785290629,0.9509358791929752,0.4672211455533345,0.009580605340521992
vitl16-official,448,cls,knn,3,48.618030842230134,1.1352086948986282,0.475939815004416,0.012178024821526554
vitl16-official,448,cls,lp,3,42.42586002372479,0.5609609141708467,0.39385680124982037,0.005055905412786171
vitl16-official,448,cls,labelprop,3,26.334519572953734,1.0950652691362257,0.2188416124265883,0.009892935986376545
vitl16-official,448,cls,ptmap,3,49.47805456702254,0.6133845379097693,0.4779583072999025,0.005874466296533087
vitl16-official,448,cls,proto,5,53.494661921708186,0.7428266222252298,0.5207187052083234,0.0062123412818677875
vitl16-official,448,cls,knn,5,58.811387900355875,0.656484769148885,0.5788725530578309,0.007308713209086903
vitl16-official,448,cls,lp,5,47.36654804270462,0.29667850534756235,0.4353358772741155,0.00420334390438242
vitl16-official,448,cls,labelprop,5,28.718861209964416,0.2745062032124814,0.23753578771060813,0.00649926356648337
vitl16-official,448,cls,ptmap,5,54.49110320284698,0.8275073594744733,0.5228153913898856,0.006995320903744103
vitl16-official,448,cls,proto,10,59.17437722419928,0.9649313782253262,0.5765099045256135,0.009496699949933981
