tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
tv-resnet18,224_fliptta,cls,ptmap,3,41.92170818505338,0.9697554242242387,0.3915710983522155,0.008562998304312598
tv-resnet18,224_fliptta,cls,proto,5,49.55160142348755,1.1215894042643049,0.48330867401706257,0.011194195550538253
tv-resnet18,224_fliptta,cls,knn,5,55.380782918149464,0.7496152177170928,0.5431305975111984,0.005682063572937385
tv-resnet18,224_fliptta,cls,lp,5,41.003558718861214,0.770444141041954,0.37357503635560907,0.010453419443798958
tv-resnet18,224_fliptta,cls,labelprop,5,27.772241992882563,0.9590730824829488,0.2259945485321672,0.012024853731710024
tv-resnet18,224_fliptta,cls,ptmap,5,47.494661921708186,0.6477454902850718,0.4418803613334269,0.0059700533813477775
tv-resnet18,224_fliptta,cls,proto,10,54.718861209964416,1.505973129383522,0.5295489478331605,0.01438328884678985
tv-resnet18,224_fliptta,cls,knn,10,69.59430604982207,0.6907949072484499,0.6811400605082502,0.00865286666758339
tv-resnet18,224_fliptta,cls,lp,10,46.87544483985765,1.0284635939182054,0.41701789016546337,0.008991278159875321
tv-resnet18,224_fliptta,cls,labelprop,10,29.879003558718864,1.03802406172055,0.2362268500271186,0.01175349112051373
tv-resnet18,224_fliptta,cls,ptmap,10,51.70106761565836,1.4608963544109939,0.4727246954751722,0.016088597213868912
tv-resnet18,448,cls,proto,1,26.949669547534313,0.5247740693403924,0.262508916048834,0.006773447484388916
tv-resnet18,448,cls,knn,1,26.949669547534313,0.5247740693403924,0.262508916048834,0.006773447484388916
tv-resnet18,448,cls,lp,1,23.8129130655821,0.8117117899787588,0.23161457280217296,0.008008989861405077
tv-resnet18,448,cls,labelprop,1,19.191662430096592,0.7338688374810391,0.16354391042204028,0.009637234099059274
tv-resnet18,448,cls,ptmap,1,26.929334011184544,0.5619934359099327,0.25934153189674686,0.0046844562182197375
tv-resnet18,448,cls,proto,3,37.6097271648873,0.43756406526507574,0.3618150195154112,0.006639288564843717
tv-resnet18,448,cls,knn,3,44.23487544483986,0.573749536369407,0.4338385983091583,0.005290545251368229
tv-resnet18,448,cls,lp,3,28.0723606168446,0.562526535172931,0.24856526737274903,0.006032135105058375
tv-resnet18,448,cls,labelprop,3,21.59549228944247,0.42429836219405515,0.16603662485641318,0.004613790824961081
tv-resnet18,448,cls,ptmap,3,34.83392645314353,0.5240810133460164,0.3137056190250319,0.005445479525467818
tv-resnet18,448,cls,proto,5,42.06405693950178,0.9868629625524579,0.4027501628920539,0.007148062678438967
tv-resnet18,448,cls,knn,5,54.22064056939503,0.44704081843251864,0.5322884712913886,0.0047044151236894345
tv-resnet18,448,cls,lp,5,30.90391459074733,0.6875791124691055,0.26963574752416397,0.009305961214195213
tv-resnet18,448,cls,labelprop,5,23.516014234875446,0.840038583562737,0.17668774542785132,0.009201235618795383
tv-resnet18,448,cls,ptmap,5,37.80782918149466,0.576358663200305,0.3349386187754003,0.005992624279060022
tv-resnet18,448,cls,proto,10,45.70818505338078,0.717768098817294,0.4336576816287324,0.008595196435853476
tv-resnet18,448,cls,knn,10,67.80071174377224,0.4842996679346312,0.6633709150152526,0.004672509024249416
tv-resnet18,448,cls,lp,10,36.612099644128115,0.9556998968177436,0.30502209721736195,0.010563393155813916
tv-resnet18,448,cls,labelprop,10,25.010676156583628,0.36846061510447703,0.18660899458534289,0.0033534848248519523
tv-resnet18,448,cls,ptmap,10,40.412811387900355,1.1179136280596211,0.3450383115616898,0.01104965098200708
tv-resnet18,448_fliptta,cls,proto,1,27.452974072191154,0.7071900225339876,0.26821951168798935,0.008941957913208343
tv-resnet18,448_fliptta,cls,knn,1,27.452974072191154,0.7071900225339876,0.26821951168798935,0.008941957913208343
tv-resnet18,448_fliptta,cls,lp,1,24.133197763091,0.6850522017735338,0.23557182633230064,0.006317312600773824
tv-resnet18,448_fliptta,cls,labelprop,1,20.030503304524657,0.7046729169104791,0.17190556772505453,0.007764353833745783
tv-resnet18,448_fliptta,cls,ptmap,1,27.397051347229286,0.4864349984635585,0.26364457613665676,0.006393673157963492
tv-resnet18,448_fliptta,cls,proto,3,37.86476868327402,0.38575593218289406,0.36407761757956736,0.006003004945384868
tv-resnet18,448_fliptta,cls,knn,3,45.106761565836294,0.7148262629415133,0.44220062295323126,0.0064510890650473435
tv-resnet18,448_fliptta,cls,lp,3,28.048635824436538,0.5831758352941008,0.24731805829900808,0.006657118388036761
tv-resnet18,448_fliptta,cls,labelprop,3,22.330960854092528,0.2542471559828323,0.17273803053565115,0.0020915055742312333
tv-resnet18,448_fliptta,cls,ptmap,3,34.57295373665481,0.5910402452362087,0.31163463242439715,0.007706865502643733
tv-resnet18,448_fliptta,cls,proto,5,42.320284697508896,0.8769191647693372,0.4044682723963512,0.005506806649702901
tv-resnet18,448_fliptta,cls,knn,5,55.35231316725979,0.43044319186359076,0.5425241710380567,0.0048399879783286364
tv-resnet18,448_fliptta,cls,lp,5,30.676156583629894,0.6561953350386396,0.26643635778712615,0.007599680147276175
tv-resnet18,448_fliptta,cls,labelprop,5,24.334519572953738,0.3958024971786277,0.18309946232245958,0.006237324111469593
tv-resnet18,448_fliptta,cls,ptmap,5,37.395017793594306,1.1150210738078123,0.32950024299105096,0.01116658799193688
tv-resnet18,448_fliptta,cls,proto,10,45.72241992882563,0.8898220526708601,0.4321515611831245,0.010360615393250913
tv-resnet18,448_fliptta,cls,knn,10,69.45195729537366,0.619257985314059,0.6807280202031918,0.0061455544790391
tv-resnet18,448_fliptta,cls,lp,10,36.44128113879003,1.1813660265265353,0.30374953287132583,0.013326579280839091
tv-resnet18,448_fliptta,cls,labelprop,10,25.978647686832737,0.7515555901047279,0.1939921748445877,0.007647319518861829
tv-resnet18,448_fliptta,cls,ptmap,10,39.70106761565836,1.096177839611585,0.33662394592642597,0.009785679239408495
tv-resnet50,224,cls,proto,1,26.51753940010168,0.3636843104520481,0.2566316411768311,0.004505577013873526
tv-resnet50,224,cls,knn,1,26.51753940010168,0.3636843104520481,0.2566316411768311,0.004505577013873526
tv-resnet50,224,cls,lp,1,26.217590238942552,0.46891769224920343,0.2474114760986117,0.006574550979194629
tv-resnet50,224,cls,labelprop,1,20.101677681748857,2.333566482268281,0.17904480134474707,0.024968016642439684
tv-resnet50,224,cls,ptmap,1,27.707168276563294,0.25860434607747496,0.27114552190322533,0.002694265573382208
tv-resnet50,224,cls,proto,3,41.654804270462634,1.0875300958184038,0.4004544016567837,0.010893729560031205
tv-resnet50,224,cls,knn,3,43.20284697508897,0.7225966744386104,0.42031127757255043,0.00700393084563218
tv-resnet50,224,cls,lp,3,36.93950177935943,0.8698360352545165,0.3353930325425304,0.011741790717708684
tv-resnet50,224,cls,labelprop,3,24.424673784104385,1.5294557793483836,0.20107380697239946,0.014774650460185586
tv-resnet50,224,cls,ptmap,3,43.14946619217081,0.9538447233733929,0.4139893045135795,0.009949087397204551
tv-resnet50,224,cls,proto,5,48.284697508896805,1.1876207855005176,0.46699724128050824,0.010401649077652494
