fraction,model_size,seed,k_shot,setting,acc,macro_f1,noise_acc,noise_macro_f1,cross_domain_acc,cross_domain_macro_f1
100,small,42,5,llrd_on_mix_on_aug0,22.491103202846972,0.17937876171576428,15.088967971530248,0.121533225357541,,
100,small,123,5,llrd_on_mix_on_aug2,21.530249110320284,0.16658471745020842,15.266903914590749,0.11779889121499072,,
100,small,123,5,llrd_off_mix_on_aug2,21.03202846975089,0.16016749385915405,17.04626334519573,0.13338685431777697,,
100,small,123,5,llrd_on_mix_off_aug2,26.405693950177938,0.21178159186472537,17.153024911032027,0.1278110641801853,,
100,small,123,5,llrd_on_mix_on_aug0,21.99288256227758,0.17414034688785615,16.227758007117437,0.12392273013179711,,
100,small,456,5,llrd_on_mix_on_aug2,20.0711743772242,0.15377907390663254,15.480427046263346,0.11519986893234395,,
100,small,456,5,llrd_off_mix_on_aug2,20.533807829181494,0.15738249192190096,17.793594306049823,0.13159850466466091,,
100,small,456,5,llrd_on_mix_off_aug2,28.790035587188612,0.23448528168142035,16.83274021352313,0.12874303212148833,,
100,small,456,5,llrd_on_mix_on_aug0,23.701067615658364,0.185840197406874,16.90391459074733,0.1329649960855402,,
100,small,789,5,llrd_on_mix_on_aug2,20.604982206405694,0.15898470405913914,15.551601423487543,0.10907119189788225,,
100,small,789,5,llrd_off_mix_on_aug2,19.501779359430603,0.1500792627339802,15.480427046263346,0.11927873150340808,,
100,small,789,5,llrd_on_mix_off_aug2,26.868327402135233,0.21948148276764648,17.366548042704625,0.13275899630900376,,
100,small,789,5,llrd_on_mix_on_aug0,23.16725978647687,0.18137631785495378,15.729537366548044,0.11410041961353279,,
100,small,999,5,llrd_on_mix_on_aug2,19.644128113879002,0.14349723823763536,15.12455516014235,0.11847239210201864,,
100,small,999,5,llrd_off_mix_on_aug2,21.95729537366548,0.1732779746407198,17.580071174377224,0.13223353870608595,,
100,small,999,5,llrd_on_mix_off_aug2,26.761565836298935,0.22257472596019742,16.761565836298935,0.12811045723980147,,
100,small,999,5,llrd_on_mix_on_aug0,21.494661921708186,0.17450210805901142,15.658362989323843,0.12070640011670938,,
100,base,42,5,llrd_on_mix_on_aug2,24.377224199288257,0.19632043939102956,17.75800711743772,0.14184113238298468,,
100,base,42,5,llrd_off_mix_on_aug2,25.516014234875446,0.21680014281499124,24.16370106761566,0.1955542039240443,,
100,base,42,5,llrd_on_mix_off_aug2,32.20640569395018,0.287488382815137,24.982206405693947,0.21001817335449935,,
100,base,42,5,llrd_on_mix_on_aug0,28.68327402135231,0.2446493342724278,22.704626334519574,0.1840679235200855,,
100,base,123,5,llrd_on_mix_on_aug2,26.619217081850532,0.21710763540840047,19.572953736654807,0.1532669626451661,,
100,base,123,5,llrd_off_mix_on_aug2,26.441281138790035,0.21635705672629518,24.91103202846975,0.20709547595177777,,
100,base,123,5,llrd_on_mix_off_aug2,33.77224199288256,0.2919847007777871,26.227758007117437,0.2234394183705611,,
100,base,123,5,llrd_on_mix_on_aug0,28.256227758007118,0.2380296562621282,23.487544483985765,0.19508284010905808,,
100,base,456,5,llrd_on_mix_on_aug2,25.37366548042705,0.21035478622569703,19.359430604982204,0.15834815063380844,,
100,base,456,5,llrd_off_mix_on_aug2,26.334519572953734,0.21966955131195928,22.989323843416372,0.1904416147322476,,
100,base,456,5,llrd_on_mix_off_aug2,34.306049822064054,0.3056946042467247,25.800711743772244,0.22556240860533106,,
100,base,456,5,llrd_on_mix_on_aug0,30.462633451957295,0.25639371531509003,22.562277580071175,0.186698705520955,,
100,base,789,5,llrd_on_mix_on_aug2,26.156583629893237,0.21672259405183797,20.92526690391459,0.1709934081979606,,
100,base,789,5,llrd_off_mix_on_aug2,27.935943060498218,0.23225922022831166,24.16370106761566,0.20351414956654215,,
100,base,789,5,llrd_on_mix_off_aug2,33.70106761565837,0.2920704886037163,26.441281138790035,0.22871862620217456,,
100,base,789,5,llrd_on_mix_on_aug0,28.18505338078292,0.24026719350636327,22.455516014234874,0.19125397601984137,,
100,base,999,5,llrd_on_mix_on_aug2,24.626334519572953,0.20360409585812303,20.71174377224199,0.16286984901506088,,
100,base,999,5,llrd_off_mix_on_aug2,27.544483985765122,0.22665674297131613,22.704626334519574,0.18841373291549382,,
100,base,999,5,llrd_on_mix_off_aug2,32.49110320284698,0.2834693809800669,25.90747330960854,0.2254875411472238,,
100,base,999,5,llrd_on_mix_on_aug0,27.615658362989326,0.22931074086025205,21.494661921708186,0.1764424539851787,,
