tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitb16-official,448,cls,proto,1,999,33.40111845449924,0.3267899795078589
vitb16-official,448,cls,knn,1,42,32.13014743263854,0.30866185615798314
vitb16-official,448,cls,knn,1,123,32.35892221657346,0.3180009615753693
vitb16-official,448,cls,knn,1,456,32.35892221657346,0.316361506338947
vitb16-official,448,cls,knn,1,789,34.138281647178445,0.32816298649057013
vitb16-official,448,cls,knn,1,999,33.40111845449924,0.3267899795078589
vitb16-official,448,cls,lp,1,42,32.435180477885105,0.3096287626804257
vitb16-official,448,cls,lp,1,123,34.36705643111337,0.332452622880174
vitb16-official,448,cls,lp,1,456,33.884087442806305,0.32433725315160494
vitb16-official,448,cls,lp,1,789,33.24860193187595,0.3162773448609852
vitb16-official,448,cls,lp,1,999,33.884087442806305,0.3253772248322075
vitb16-official,448,cls,labelprop,1,42,21.352313167259787,0.1841569005436378
vitb16-official,448,cls,labelprop,1,123,23.157092018301984,0.20729494085739844
vitb16-official,448,cls,labelprop,1,456,22.547025927808846,0.1982938314120877
vitb16-official,448,cls,labelprop,1,789,21.403152008134217,0.18071906714901337
vitb16-official,448,cls,labelprop,1,999,22.724961870869347,0.20067346801814484
vitb16-official,448,cls,ptmap,1,42,35.38383324860193,0.3471903430742925
vitb16-official,448,cls,ptmap,1,123,36.19725470259278,0.35657169622572166
vitb16-official,448,cls,ptmap,1,456,36.19725470259278,0.3534606887467447
vitb16-official,448,cls,ptmap,1,789,34.417895271987796,0.3384706713776355
vitb16-official,448,cls,ptmap,1,999,35.56176919166243,0.35154899697395803
vitb16-official,448,cls,proto,3,42,50.88967971530249,0.49408088639068315
vitb16-official,448,cls,proto,3,123,51.42348754448398,0.501233141967732
vitb16-official,448,cls,proto,3,456,50.14827995255041,0.4881425612905853
vitb16-official,448,cls,proto,3,789,50.94899169632265,0.4993653271902212
vitb16-official,448,cls,proto,3,999,50.59311981020166,0.4941093795944973
vitb16-official,448,cls,knn,3,42,51.60142348754449,0.5065044372945244
vitb16-official,448,cls,knn,3,123,51.482799525504156,0.5044060034766515
vitb16-official,448,cls,knn,3,456,50.5338078291815,0.49649544544964186
vitb16-official,448,cls,knn,3,789,51.36417556346382,0.5036146642928393
vitb16-official,448,cls,knn,3,999,49.73309608540925,0.4888242446354537
vitb16-official,448,cls,lp,3,42,45.996441281138786,0.4349126776023048
vitb16-official,448,cls,lp,3,123,47.034400948991696,0.43786613494786353
vitb16-official,448,cls,lp,3,456,45.64056939501779,0.42711358845313346
vitb16-official,448,cls,lp,3,789,45.81850533807829,0.4269237446338168
vitb16-official,448,cls,lp,3,999,45.81850533807829,0.4324570036644254
vitb16-official,448,cls,labelprop,3,42,23.517200474495848,0.19582002602253354
vitb16-official,448,cls,labelprop,3,123,27.046263345195733,0.23061270613693105
vitb16-official,448,cls,labelprop,3,456,26.542111506524318,0.2283693364176797
vitb16-official,448,cls,labelprop,3,789,27.935943060498218,0.23152971537754802
vitb16-official,448,cls,labelprop,3,999,26.215895610913403,0.214339359016525
vitb16-official,448,cls,ptmap,3,42,53.26215895610913,0.520322367963497
vitb16-official,448,cls,ptmap,3,123,53.35112692763938,0.5183247283064324
vitb16-official,448,cls,ptmap,3,456,52.995255041518384,0.5181170406880348
vitb16-official,448,cls,ptmap,3,789,51.9276393831554,0.504634545456624
vitb16-official,448,cls,ptmap,3,999,52.10557532621589,0.5089350304610525
vitb16-official,448,cls,proto,5,42,58.00711743772242,0.5673345802039886
vitb16-official,448,cls,proto,5,123,58.04270462633452,0.5686276642119134
vitb16-official,448,cls,proto,5,456,57.580071174377224,0.5640818571863707
vitb16-official,448,cls,proto,5,789,59.07473309608541,0.5843578020771025
vitb16-official,448,cls,proto,5,999,57.722419928825616,0.5668221117711539
vitb16-official,448,cls,knn,5,42,59.9644128113879,0.5904410665178802
vitb16-official,448,cls,knn,5,123,59.928825622775804,0.5913801708482658
vitb16-official,448,cls,knn,5,456,59.2170818505338,0.5849501383942229
vitb16-official,448,cls,knn,5,789,61.138790035587185,0.5984203583540249
